,Title,Distributor,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Estimated,Rated,Genre,Language,Awards,DVD,BoxOffice,Director,Writer,Actors,Runtime,Plot,IMDB_ID,IMDB_Rating,IMDB_Votes,IMDB_Metascore
352,Carrie Pilby,The Orchard,"$18,743",6,"$13,944",74.4%,6,Mar 31,Apr 13,False,Not Rated,"Comedy, Drama",English,1 win & 2 nominations.,04 Apr 2017,"$19,025",Susan Johnson,"Kara Holden (screenplay by), Caren Lissner (based on the novel by)","Bel Powley, Nathan Lane, Gabriel Byrne, Vanessa Bayer",98 min,"A person of high intelligence struggles to make sense of the world as it relates to morality, relationships, sex and leaving her apartment.",tt2989524,6.6,"5,453",52
353,My Entire High School Sinking Into the Sea,GKIDS,"$68,883",25,"$13,684",19.9%,3,Apr 14,May 25,False,PG-13,"Animation, Comedy, Drama",English,1 win & 11 nominations.,23 Jan 2018,"$65,250",Dash Shaw,Dash Shaw,"Jason Schwartzman, Lena Dunham, Reggie Watts, Adam Lustick",75 min,"An earthquake causes a high school to float into the sea, where it slowly sinks like a shipwreck.",tt5538568,6.1,759,72
354,City of Ghosts,IFC Films,"$127,574",18,"$13,601",10.7%,2,Jul 7,Sep 7,False,R,"Crime, Drama, Thriller","English, French, Khmer, Russian",N/A,28 Oct 2003,"$275,998",Matt Dillon,"Matt Dillon, Barry Gifford","Matt Dillon, James Caan, Natascha McElhone, Gérard Depardieu",116 min,"A con man (Matt Dillon) travels to Cambodia (also on the run from law enforcement in the U.S.) to collect his share in an insurance scam, but discovers more than he bargained for.",tt0164003,6.0,"4,762",57
355,Dolores,PBS Distribution,"$554,274",33,"$13,534",2.4%,1,Sep 1,-,False,Not Rated,"Documentary, Biography, History",English,7 wins & 4 nominations.,N/A,"$419,201",Peter Bratt,"Jessica Congdon, Peter Bratt","Dolores Huerta, Martin Luther King, Luis Valdez, Ricardo S. Chavez",95 min,"In the 1950's, a working-class wife and mother of eleven children helps to establish a farmer's union, which later develops into a platform for feminism and gender equality.",tt6013154,7.0,243,81
356,Tom of Finland,Kino Lorber,"$361,720",12,"$13,524",3.7%,1,Oct 13,Mar 22,False,Not Rated,"Biography, Drama","Finnish, English, German",2 wins & 9 nominations.,06 Feb 2018,"$323,048",Dome Karukoski,"Aleksi Bardy (screenplay), Aleksi Bardy (story by), Dome Karukoski (story by), Mark Alton Brown (additional dialogue), Noam Andrews (Additional Storylines), Kauko Röyhkä (Additional Storylines), Mia Ylönen (Additional Storylines), Susanna Luoto (consultant)","Pekka Strang, Seumas F. Sargent, Chris Myland, Alf Myreen",117 min,"Award-winning filmmaker Dome Karukoski brings to screen the life and work of artist Touko Valio Laaksonen (aka Tom of Finland), one of the most influential and celebrated figures of twentieth century gay culture.",tt5226984,6.8,"4,618",56
357,The Unknown Girl,IFC Films,"$150,549",28,"$13,477",9%,2,Sep 8,Nov 2,False,Unrated,"Crime, Drama, Mystery, Thriller",French,1 win & 5 nominations.,12 Dec 2017,"$142,332","Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne (screenplay), Luc Dardenne (screenplay)","Adèle Haenel, Olivier Bonnaud, Jérémie Renier, Louka Minnella",113 min,A female doctor gets obsessed with the case of a dead woman after learning that the woman had died shortly after having rung her door for help.,tt4630550,6.5,"6,366",65
358,Brave New Jersey,Gravitas Ventures,"$16,544",14,"$13,437",81.2%,14,Aug 4,Dec 10,False,TV-MA,Comedy,English,4 wins.,04 Aug 2017,"$14,105",Jody Lambert,"Michael Dowling, Jody Lambert","Anna Camp, Sam Jaeger, Mel Rodriguez, Tony Hale",86 min,"A comedy about a small New Jersey town on the night of Orson Welles' legendary 1938 ""War of the Worlds"" radio broadcast, which led millions of listeners to believe the U.S. was being invaded by Martians.",tt4660172,5.4,374,45
359,Hermia & Helena,Kino Lorber,"$43,104",4,"$12,986",30.1%,2,May 26,Nov 2,False,Not Rated,"Comedy, Drama","English, Spanish",4 nominations.,31 Oct 2017,"$42,055",Matías Piñeiro,Matías Piñeiro,"Agustina Muñoz, María Villar, Mati Diop, Keith Poulson",87 min,"Hermia & Helena is a film of dead ends and new beginnings, navigating different hemispheres and languages with amorous detours, where the written words of Shakespeare clash with the entanglements of modern, digital life.",tt5880296,5.7,326,79
360,I Called Him Morgan,Submarine Deluxe,"$128,748",11,"$12,902",10%,1,Mar 24,Aug 24,False,N/A,"Documentary, Drama, History, Music",English,1 win & 6 nominations.,N/A,"$8,544",Kasper Collin,"Kasper Collin, Jesper Osmund (narrative consultant)","Lee Morgan, Helen Morgan, Wayne Shorter, Larry Reni Thomas",92 min,"An exploration of the relationship between jazz trumpeter Lee Morgan and his common-law wife Helen, who was implicated in his murder in 1972.",tt4170344,7.3,"1,211",90
361,Heal,Paladin,"$12,668",1,"$12,668",100%,1,Oct 20,Oct 22,False,Not Rated,Documentary,English,1 win.,N/A,N/A,Kelly Noonan,Kelly Noonan,"Deepak Chopra, Joseph Dispenza, Marianne Williamson, Gregg Braden",106 min,"A documentary film that takes us on a scientific and spiritual journey where we discover that by changing one's perceptions, the human body can heal itself from any dis-ease.",tt5239942,6.8,"1,251",N/A
362,Take Every Wave: The Life of Laird Hamilton,IFC Films,"$176,076",31,"$12,636",7.2%,1,Sep 29,Nov 16,False,Not Rated,"Documentary, Sport",English,1 win & 1 nomination.,06 Feb 2018,"$41,053",Rory Kennedy,"Mark Bailey, Jack Youngelson","Nick Carroll, Darrick Doerner, Laird Hamilton, Gabrielle Reece",118 min,"This is the remarkable story of an American icon who changed the sport of big wave surfing forever. Transcending the surf genre, this in-depth portrait of a hard-charging athlete explores ...",tt6333092,7.3,377,66
363,Polina,Oscilloscope,"$165,203",31,"$12,588",7.6%,2,Aug 25,Oct 26,False,N/A,Drama,"French, Russian",N/A,N/A,N/A,"Valérie Müller, Angelin Preljocaj","Valérie Müller (screenplay), Bastien Vives (book)","Anastasia Shevtsova, Veronika Zhovnytska, Juliette Binoche, Aleksey Guskov",108 min,A young girl studies classical ballet. As a young woman she turns to modern dance and choreography.,tt4383288,6.7,"1,367",65
364,Better Watch Out,Well Go USA Entertainment,"$20,369",25,"$12,569",61.7%,25,Oct 6,Oct 26,False,R,"Comedy, Crime, Horror, Thriller",English,8 wins & 2 nominations.,05 Dec 2017,N/A,Chris Peckover,"Zack Kahn (story by), Zack Kahn, Chris Peckover","Olivia DeJonge, Levi Miller, Ed Oxenbould, Aleks Mikic",89 min,"On a quiet suburban street, a babysitter must defend a twelve-year-old boy from intruders, only to discover it's far from a normal home invasion.",tt4443658,6.5,"23,468",67
365,Abacus: Small Enough to Jail,PBS Distribution,"$103,168",8,"$12,528",12.1%,1,May 19,Aug 6,False,Not Rated,Documentary,English,Nominated for 1 Oscar. Another 5 wins & 11 nominations.,N/A,"$113,278",Steve James,N/A,"Thomas Sung, Hwei Lin Sung, Cyrus Vance Jr., Matt Taibbi",88 min,A small financial institution called Abacus becomes the only company criminally indicted in the wake of the United States' 2008 mortgage crisis.,tt5952382,7.2,"2,461",73
366,Blind,Vertical Entertainment,"$12,522",14,"$12,522",100%,14,Jul 14,-,False,Not Rated,Drama,Norwegian,17 wins & 11 nominations.,02 Aug 2004,N/A,Eskil Vogt,Eskil Vogt,"Ellen Dorrit Petersen, Henrik Rafaelsen, Vera Vitali, Marius Kolbenstvedt",96 min,"Forsaken in a new Oslo apartment, a frail blind woman battles to come to terms with her condition, as she slowly retracts into an elaborate fantasy bubble. Are her stories fanning her suspicions, or is this what total blindness looks like?",tt2616810,6.9,"6,661",83
367,The Blackcoat's Daughter,A24,"$20,435",26,"$12,402",60.7%,26,Mar 31,Apr 13,False,R,"Horror, Thriller",English,6 nominations.,30 May 2017,"$19,980",Oz Perkins,Oz Perkins,"Emma Roberts, Kiernan Shipka, Lucy Boynton, James Remar",93 min,Two girls must battle a mysterious evil force when they get left behind at their boarding school over winter break.,tt3286052,5.9,"14,798",68
368,Woodshock,A24,"$42,603",39,"$12,247",28.7%,3,Sep 22,Oct 12,False,R,"Drama, Thriller",English,N/A,28 Nov 2017,"$41,126","Kate Mulleavy, Laura Mulleavy","Kate Mulleavy, Laura Mulleavy","Kirsten Dunst, Joe Cole, Pilou Asbæk, Steph DuVall",100 min,"A haunted young woman spirals in the wake of profound loss, torn between her fractured emotional state and the reality-altering effects of a potent cannabinoid drug.",tt4677924,4.2,"1,302",39
369,Alive and Kicking,Magnolia Pictures,"$68,485",11,"$12,201",17.8%,11,Apr 7,Jun 22,False,R,"Comedy, Drama, Romance",English,2 wins & 1 nomination.,02 Nov 1999,N/A,Nancy Meckler,Martin Sherman,"Jason Flemyng, Antony Sher, Dorothy Tutin, Anthony Higgins",98 min,"A passionately committed young dancer is forced to re-examine his career and life when faced with death, finding hope through an older man who becomes his lover, mentor and companion.",tt0116631,5.7,758,N/A
370,Tragedy Girls,Gunpowder & Sky,"$61,899",22,"$12,125",19.6%,2,Oct 20,Dec 17,False,R,"Comedy, Crime, Horror",English,8 wins & 3 nominations.,N/A,"$58,016",Tyler MacIntyre,"Chris Lee Hill, Tyler MacIntyre, Justin Olson (based on an original screenplay by)","Brianna Hildebrand, Alexandra Shipp, Jack Quaid, Kevin Durand",98 min,"A twist on the slasher genre, following two death-obsessed teenage girls who use their online show about real-life tragedies to send their small mid-western town into a frenzy, and cement their legacy as modern horror legends.",tt3859272,6.0,"7,364",58
371,The B-Side: Elsa Dorfman's Portrait Photography,Neon,"$125,227",25,"$12,035",9.6%,3,Jun 30,Aug 10,False,R,Documentary,English,N/A,N/A,"$121,498",Errol Morris,N/A,Elsa Dorfman,76 min,A look at the life and work of photographer Elsa Dorfman.,tt5952468,6.6,395,77
372,Person to Person,Magnolia Pictures,"$48,499",13,"$11,852",24.4%,3,Jul 28,Sep 14,False,Not Rated,"Comedy, Drama",English,5 nominations.,31 Oct 2017,"$48,347",Dustin Guy Defa,Dustin Guy Defa,"Abbi Jacobson, Michael Cera, Tavi Gevinson, Bene Coopersmith",84 min,Follows a variety of New York characters as they navigate personal relationships and unexpected problems over the course of one day.,tt5247026,5.7,"1,240",53
373,A Woman's Life,Kino Lorber,"$36,544",4,"$11,483",31.4%,2,May 5,Aug 3,False,Not Rated,Drama,"French, Latin",2 wins & 8 nominations.,N/A,N/A,Stéphane Brizé,"Stéphane Brizé (scenario), Florence Vignon (scenario), Guy de Maupassant (novel)","Judith Chemla, Jean-Pierre Darroussin, Yolande Moreau, Swann Arlaud",119 min,A fragmented account of the life of Jeanne as she sets out on the path of adult life and gradually experiences the harsh realities of a woman's life in the 19th-century.,tt5078134,6.5,832,74
374,Wakefield,IFC Films,"$96,490",30,"$11,299",11.7%,1,May 19,Jul 20,False,R,Drama,English,1 win & 1 nomination.,01 Aug 2017,N/A,Robin Swicord,"E.L. Doctorow (based on the short story by), Robin Swicord (written for the screen by)","Bryan Cranston, Jennifer Garner, Victoria Bruno, Ellery Sprayberry",106 min,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.,tt5195412,6.3,"13,699",62
375,My Scientology Movie,Magnolia Pictures,"$22,936",6,"$11,180",48.7%,2,Mar 10,Apr 13,False,Not Rated,Documentary,English,3 nominations.,N/A,"$22,450",John Dower,"John Dower, Louis Theroux","Louis Theroux, Tom Cruise, Marty Rathbun, Paz de la Huerta",99 min,Louis Theroux documents his investigation into what goes on behind the scenes of the infamous Church of Scientology.,tt5111874,6.7,"11,106",62
376,Ex Libris: The New York Public Library,Zipporah Films,"$156,262",15,"$10,926",7%,1,Sep 13,Feb 22,False,N/A,Documentary,English,5 wins & 21 nominations.,N/A,"$42,021",Frederick Wiseman,N/A,"Ta-Nehisi Coates, Elvis Costello, Richard Dawkins, Edmund de Waal",197 min,A look within the walls of the New York Public Library.,tt6209282,7.5,843,91
377,Ancien and the Magic Tablet,GKIDS,"$48,198",22,"$10,865",22.5%,14,Sep 8,Oct 5,False,N/A,"Animation, Adventure, Drama, Family, Fantasy, Sci-Fi","Japanese, English",1 win & 2 nominations.,30 Jan 2018,"$46,020",Kenji Kamiyama,Kenji Kamiyama,"Mitsuki Takahata, Shinnosuke Mitsushima, Jamison Boaz, Ray Chase",111 min,"In the near future, a high school senior discovers that events in her waking life begin to parallel events in her dreams.",tt5731132,6.3,946,69
378,Thelma,The Orchard,"$147,391",39,"$10,841",7.4%,1,Nov 10,Mar 15,False,Not Rated,"Drama, Fantasy, Horror, Mystery, Romance, Thriller","Norwegian, Swedish",7 wins & 23 nominations.,03 Apr 2018,"$147,112",Joachim Trier,"Eskil Vogt (screenplay), Joachim Trier (screenplay)","Eili Harboe, Kaya Wilkins, Henrik Rafaelsen, Ellen Dorrit Petersen",116 min,A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.,tt6304046,7.0,"22,129",74
379,David Lynch: The Art Life,Janus Films,"$171,419",8,"$10,823",6.3%,1,Mar 31,Jun 25,False,Not Rated,"Documentary, Biography",English,1 win & 2 nominations.,N/A,N/A,"Rick Barnes, Olivia Neergaard-Holm, Jon Nguyen",N/A,"David Lynch, Lula Lynch, Edwina Lynch, Donald Lynch",88 min,Artist and filmmaker David Lynch discusses his early life and the events that shaped his outlook on art and the creative process.,tt1691152,7.2,"4,263",75
380,In Search of Fellini,-,"$12,772",3,"$10,796",84.5%,3,Sep 15,-,False,R,"Adventure, Drama, Romance",English,4 wins.,N/A,"$10,796",Taron Lexton,"Nancy Cartwright, Peter Kjenaas","Ksenia Solo, Maria Bello, Jay Kunzi, Enrico Oetiker",93 min,"A shy small-town Ohio girl who loves movies but dislikes reality, discovers the delightfully bizarre films of Federico Fellini, and sets off on a strange, beautiful journey across Italy to find him.",tt4801232,6.2,"1,561",55
381,A Journey Through French Cinema,Cohen Media Group,"$52,214",4,"$10,636",20.4%,3,Jun 23,Aug 16,False,Not Rated,Documentary,French,1 win & 3 nominations.,N/A,N/A,Bertrand Tavernier,Bertrand Tavernier,"Bertrand Tavernier, François Truffaut, Jean-Paul Gaultier, Jean Renoir",201 min,"Bertrand Tavernier's personal journey through French cinema, from films he enjoyed as a boy to his own early career, told through portraits of key creative figures.",tt5652594,7.6,461,87
382,Unrest,-,"$40,081",8,"$10,607",26.5%,1,Sep 22,Oct 12,False,R,"Horror, Thriller",English,4 wins & 1 nomination.,27 Mar 2007,N/A,Jason Todd Ipson,"Chris Billett (screenplay), Jason Todd Ipson (screenplay)","Corri English, Marisa Petroro, Ben Livingston, Abner Genece",88 min,A young pathology med student suspects that the spirit of a dead cadaver in the hospital morgue where she works is killing off all those who handle or desecrate the body.,tt0453533,5.0,"7,451",N/A
383,RV: Resurrected Victims,Well Go USA Entertainment,"$20,374",11,"$10,589",52%,11,Oct 20,Nov 2,False,N/A,"Action, Mystery, Thriller",Korean,N/A,N/A,N/A,Kyung-taek Kwak,"Kyung-taek Kwak, Ha-Ik Park (novel)","Rae-won Kim, Hae-sook Kim, Dong-il Sung, Hye-jin Jeon",91 min,Jin-hong is a coldhearted prosecutor who's obsessed with catching the man who murdered his mother. He quickly becomes the prime suspect when the deceased woman returns from the grave to avenge her death.,tt7243750,5.7,304,N/A
384,In the Fade,Magnolia Pictures,"$271,345",35,"$10,455",3.9%,3,Dec 27,Apr 5,False,R,"Crime, Drama, Thriller","German, Greek, English, Turkish",Won 1 Golden Globe. Another 13 wins & 17 nominations.,N/A,N/A,Fatih Akin,"Fatih Akin (written for screen by), Hark Bohm (author)","Numan Acar, Adam Bousdoukos, Diane Kruger, Denis Moschitto",106 min,"Katja's life collapses after the death of her husband and son in a bomb attack. After a time of mourning and injustice, Katja seeks revenge.",tt5723272,7.1,"23,612",65
385,Trafficked,-,"$19,698",17,"$10,413",52.9%,17,Oct 6,-,False,R,"Drama, Thriller",English,N/A,11 Jan 2018,N/A,Will Wallace,Siddharth Kara (screenplay),"Ashley Judd, Elisabeth Röhm, Anne Archer, Brian Thompson",104 min,"In this story inspired by real characters, three girls from America, Nigeria and India are trafficked through an elaborate global network and enslaved in a Texas brothel, and must together attempt a daring escape to reclaim their freedom.",tt1720621,5.4,811,38
386,Graduation,IFC Films,"$175,975",36,"$10,305",5.9%,2,Apr 7,Jun 11,False,R,"Crime, Drama",Romanian,10 wins & 24 nominations.,N/A,N/A,Cristian Mungiu,Cristian Mungiu,"Adrian Titieni, Maria Dragus, Lia Bugnar, Mãlina Manovici",128 min,A film about compromises and the implications of the parent's role.,tt4936450,7.3,"10,689",84
387,Red Trees,Cohen Media Group,"$13,666",9,"$10,180",74.5%,9,Sep 15,Sep 21,False,Not Rated,Documentary,English,N/A,23 Jan 2018,"$10,180",Marina Willer,"Brian Eley, Leena Telén, Marina Willer",Tim Pigott-Smith,87 min,Traces a family's journey as one of only twelve Jewish families to survive the Nazi occupation of Prague during World War II.,tt7211972,6.1,108,57
388,Moka,Film Movement,"$126,515",18,"$10,094",8%,1,Jun 14,Oct 26,False,N/A,Drama,French,1 win & 1 nomination.,N/A,"$126,342",Frédéric Mermoud,"Jean-Stéphane Bron (with the participation of), Tatiana De Rosnay (novel), Antonin Martin-Hilbert (dialogue), Antonin Martin-Hilbert (screenplay), Frédéric Mermoud (dialogue), Frédéric Mermoud (screenplay), Anne-Louise Trividic (with the participation of)","Emmanuelle Devos, Nathalie Baye, David Clavel, Diane Rouxel",89 min,A grieving woman pursues a couple who she suspects of killing her son in a hit-and-run.,tt5072406,6.2,840,69
389,Walk with Me,GathrFilms,"$726,455",61,"$9,932",1.4%,1,Aug 11,-,False,N/A,Documentary,"English, French, Vietnamese",N/A,21 Nov 2017,N/A,"Marc J. Francis, Max Pugh","Marc J. Francis, Max Pugh","Benedict Cumberbatch, Thich Nhát Hanh, Pháp De, Brother Pháp Dung",94 min,'Walk With Me' is a meditative film about a community of Zen Buddhist monks and nuns who have dedicated their lives to mastering the art of mindfulness with their world-famous teacher Thich Nhat Hanh.,tt2331100,6.3,755,55
390,The Last Dalai Lama?,Matson Films,"$145,524",18,"$9,786",6.7%,4,Jul 7,-,False,N/A,Documentary,English,N/A,N/A,N/A,Mickey Lemle,Mickey Lemle,N/A,82 min,"A portrait of the 14th Dalai Lama, featuring interviews with his family and the people he has inspired since his exile from Tibet in 1959.",tt6865478,N/A,N/A,N/A
391,All the Rage (Saved by Sarno),The Film Collaborative,"$18,489",1,"$9,765",52.8%,1,Jun 23,Jul 9,False,N/A,"Documentary, Biography, Drama",English,N/A,N/A,N/A,"David Beilinson, Michael Galinsky, Suki Hawley",N/A,"Jonathan Ames, Larry David, Tom Harkin, Gabor Mate",94 min,"America is experiencing an epidemic of pain. One man has the answer to the problem yet the medical establishment has ignored him. For nearly 50 years, Dr. John Sarno has been ...",tt5272796,9.4,155,47
392,The Crime of Monsieur Lange,Rialto Pictures,"$36,438",3,"$9,633",26.4%,1,Nov 17,Apr 26,False,Not Rated,"Comedy, Crime, Drama",French,N/A,N/A,"$27,823",Jean Renoir,"Jean Castanier (story), Jacques Prévert (adaptation), Jacques Prévert (dialogue), Jean Renoir (screenplay), Jean Renoir (story)","René Lefèvre, Florelle, Jules Berry, Marcel Lévesque",77 min,"A man and a woman arrive in a cafe-hotel near the Belgian frontier. The customers recognize the man from the police description. His name is Amedee Lange, and he murdered Batala in Paris. ...",tt0027478,7.5,"2,523",N/A
393,Manifesto,FilmRise,"$120,946",10,"$9,628",8%,1,May 10,Aug 20,False,Not Rated,Drama,English,1 win & 2 nominations.,N/A,N/A,Julian Rosefeldt,Julian Rosefeldt,"Cate Blanchett, Erika Bauer, Ruby Bustamante, Carl Dietrich",95 min,Cate Blanchett performs manifestos as a series of striking monologues.,tt4511200,6.6,"4,998",72
394,May It Last: A Portrait of the Avett Brothers,Oscilloscope,"$720,235",326,"$9,616",1.3%,8,Sep 12,Nov 2,False,Not Rated,"Documentary, Music",English,1 win & 1 nomination.,18 Jun 2019,"$704,763","Judd Apatow, Michael Bonfiglio",N/A,"The Avett Brothers, Scott Avett, Seth Avett, Jennifer Carpenter",104 min,"An intimate documentary following acclaimed North Carolina band the Avett Brothers, as they create their 2016 hit album ""True Sadness.""",tt6487050,8.6,473,N/A
395,Our President,CJ Entertainment,"$122,302",41,"$9,421",7.7%,1,Jun 2,Aug 6,False,N/A,Documentary,English,N/A,N/A,N/A,Chang-jae Lee,N/A,"Lee Hwa-Choon, Moon Jae-in, Roh Moo-Hyun, Rhyu Si-Min",119 min,"A look at the life of Roh Moo-hyun, South Korea's president from 2003-2008.",tt7037566,8.4,34,N/A
396,The Commune,Magnolia Pictures,"$24,427",13,"$9,249",37.9%,7,May 19,Jun 29,False,Not Rated,Drama,Danish,5 wins & 18 nominations.,N/A,N/A,Thomas Vinterberg,"Tobias Lindholm, Mogens Rukov (play), Thomas Vinterberg (play), Thomas Vinterberg","Fares Fares, Ulrich Thomsen, Trine Dyrholm, Magnus Millang",111 min,"A story about the clash between personal desires, solidarity and tolerance in a Danish commune in the 1970s.",tt3082854,6.4,"5,770",60
397,Alone in Berlin,IFC Films,"$11,080",5,"$8,869",80%,2,Jan 13,Feb 12,False,R,"Drama, History, War",English,2 nominations.,13 Jun 2017,"$19,428",Vincent Perez,"Achim von Borries (screenplay), Vincent Perez (screenplay), Bettine von Borries (collaboration on screenplay), Hans Fallada (novel)","Emma Thompson, Brendan Gleeson, Daniel Brühl, Louis Hofmann",103 min,"After a Nazi German working class couple loses their son in World War II, they decide to retaliate by secretly leafletting handwritten cards in Berlin denouncing their government.",tt3026488,6.5,"6,898",52
398,Dead Awake,FilmRise,"$11,528",12,"$8,834",76.6%,12,May 12,May 18,False,Not Rated,"Horror, Thriller",English,4 wins & 2 nominations.,N/A,N/A,Phillip Guzman,Jeffrey Reddick,"Jocelin Donahue, Jesse Bradford, Jesse Borrego, Lori Petty",99 min,A young woman must save herself and her friends from an ancient evil that stalks its victims through the real-life phenomenon of sleep paralysis.,tt3778010,4.6,"2,780",N/A
399,Intent to Destroy,Abramorama,"$13,194",3,"$8,699",65.9%,3,Nov 10,Nov 19,False,PG-13,"Documentary, History",English,3 wins.,N/A,N/A,Joe Berlinger,"Joe Berlinger, Cy Christiansen","Shohreh Aghdashloo, Taner Akçam, Hagop Asadourian, Peter Balakian",115 min,Filmmaker Joe Berlinger meets with historians and scholars to discuss the Armenian Genocide and the continuing denial by the Turkish government of it ever happening.,tt6794462,7.7,418,75
400,BPM (Beats Per Minute),The Orchard,"$125,189",20,"$8,566",6.8%,2,Oct 20,Mar 29,False,Not Rated,Drama,French,38 wins & 48 nominations.,N/A,N/A,Robin Campillo,"Robin Campillo, Philippe Mangeot (collaboration on screenplay)","Nahuel Pérez Biscayart, Arnaud Valois, Adèle Haenel, Antoine Reinartz",143 min,Members of the advocacy group ACT UP Paris demand action by the government and pharmaceutical companies to combat the AIDS epidemic in the early 1990s.,tt6135348,7.5,"11,065",84
401,The King's Case Note,CJ Entertainment,"$90,959",7,"$8,462",9.3%,2,Apr 28,Jun 15,False,N/A,"Comedy, Mystery",Korean,N/A,N/A,N/A,Hyun-Sung Moon,N/A,"Sun-kyun Lee, Jae-hong Ahn, Hie-won Kim, Jin-mo Joo",114 min,A clever King and his brilliant chronicle keeper hunt for the truth behind a crime that threatens the throne and the stability of the country.,tt6817202,6.5,181,N/A
402,Jasmine,Indican Pictures,"$24,248",3,"$8,358",34.5%,3,Jun 16,Aug 31,False,NOT RATED,Thriller,English,87 wins & 51 nominations.,N/A,N/A,Dax Phelan,"Dax Phelan (screenplay), Dax Phelan (story), Jason Tobin (story)","Jason Tobin, Byron Mann, Sarah Lian, Eugenia Yuan",80 min,"A year after his wife's murder, once-successful Hong Kong businessman Leonard To (Jason Tobin) is still reeling from the tragedy. Having lost his job, friends, and all sense of order in his...",tt1646972,5.9,111,N/A
403,Natasha,Menemsha Films,"$8,325",1,"$8,325",100%,1,Apr 28,Apr 30,False,N/A,"Drama, Comedy, Crime, Romance",Serbian,2 wins & 1 nomination.,N/A,N/A,Ljubisa Samardzic,"Srdjan Koljevic, Djordje Milosavljevic","Tijana Kondic, Nikola Djuricko, Anica Dobra, Davor Janjic",92 min,"Seventeen year old Natasha, a daughter of a murdered police inspector, tries to discover her father's killers.",tt0283504,6.6,"1,251",N/A
404,Manolo: The Boy Who Made Shoes for Lizards,Music Box Films,"$58,909",11,"$8,186",13.9%,3,Sep 15,Nov 30,False,Not Rated,"Documentary, Biography, Drama",English,N/A,12 Dec 2017,"$39,504",Michael Roberts,Michael Roberts,"Manolo Blahnik, David Bailey, Mary Beard, Lucy Burley",89 min,"An in-depth portrait of MANOLO BLAHNIK, self-confessed 'cobbler' and the man regarded by most influential fashion figures as 'the best shoe-maker of the 20th and 21st centuries. A film for ...",tt5821256,6.4,378,52
405,The Nile Hilton Incident,Strand Releasing,"$81,089",9,"$8,183",10.1%,2,Aug 11,Nov 9,False,Unrated,"Crime, Drama, Thriller","Arabic, Dinka, English, French",10 wins & 6 nominations.,N/A,"$78,460",Tarik Saleh,Tarik Saleh,"Fares Fares, Mari Malek, Yasser Ali Maher, Ahmed Selim",111 min,"A maid witnesses a murder at an upscale hotel and a policeman is assigned to the case, but it soon becomes clear that important people don't want the case solved.",tt5540188,6.7,"6,038",70
406,The Boom,Rialto Pictures,"$57,962",2,"$8,164",14.1%,1,Jun 16,Nov 30,False,N/A,Comedy,Italian,N/A,N/A,"$56,369",Vittorio De Sica,Cesare Zavattini,"Alberto Sordi, Gianna Maria Canale, Ettore Geri, Elena Nicolai",88 min,During the economic boom of Italy a man tries desperately to maintain a high standard of living for his family.,tt0056883,7.2,304,N/A
407,Tickling Giants,-,"$51,413",17,"$8,159",15.9%,1,Mar 17,-,False,TV-14,Documentary,English,3 nominations.,N/A,N/A,Sara Taksler,Sara Taksler,"Bassem Youssef, Jon Stewart, Shadi Alfons, Khaled Mansour",111 min,"While the Egyptian revolution of 2011 is underway, surgeon turned comedian Bassem Youssef airs a television show that makes him popular to his countrymen but disliked by the government.",tt5494396,8.3,"1,314",78
408,Score: A Film Music Documentary,Gravitas Ventures,"$98,886",8,"$8,088",8.2%,1,Jun 16,Nov 30,False,Not Rated,"Documentary, Music",English,7 wins & 2 nominations.,05 Sep 2017,"$101,382",Matt Schrader,Matt Schrader,"Marco Beltrami, Jon Burlingame, Leonard Maltin, Bill Field",93 min,"A look at the cinematic art of the film musical score, and the artists who create them.",tt4207112,7.5,"3,372",67
409,The Death of Louis XIV,The Cinema Guild,"$43,635",6,"$8,002",18.3%,1,Mar 31,Jul 13,False,N/A,"Biography, Drama, History","Latin, French",11 wins & 23 nominations.,N/A,"$43,635",Albert Serra,"Thierry Lounas (scenario), Albert Serra (scenario)","Jean-Pierre Léaud, Patrick d'Assumçao, Marc Susini, Bernard Belin",115 min,"Upon returning from a hunting expedition, King Louis XIV feels a sharp pain in his leg. He begins to die, surrounded by loyal followers in the royal chambers.",tt5129510,6.8,"1,582",76
410,Donald Cried,The Orchard,"$61,406",17,"$7,977",13%,2,Mar 3,May 18,False,Not Rated,"Comedy, Drama",English,8 wins & 7 nominations.,N/A,"$61,309",Kris Avedisian,"Kris Avedisian, Kris Avedisian (screenplay), Kyle Espeleta (story), Jesse Wakeman (story)","Jesse Wakeman, William Billington, Louisa Krause, Kris Avedisian",85 min,"With sudden passing of his grandmother, Peter Latang returns to his hometown and encounters his long lost, childhood friend, Donald Treebeck. What begins as a simple favor, turns into a long day's journey into the past.",tt4442604,6.5,951,72
