,title,rated,genre,runtime,open_date,close_date,studio,director,writer,actors,plot,language,boxoffice,opening,gross,dvd,open_theaters,max_theaters,awards,imdb_id,imdb_rating,imdb_votes,imdb_metascore,rotten_tomato_meter
30,Girls Trip,R,"Adventure, Comedy, Drama",122.0,2017-07-21,2017-10-19,Universal Pictures,Malcolm D. Lee,"Erica Rivinoja (story by), Kenya Barris (story by), Tracy Oliver (story by), Kenya Barris (screenplay by), Tracy Oliver (screenplay by)","Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish","When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling, and romancing to make the Big Easy blush.",English,115088305.0,31201920.0,115108515.0,2017-10-17,2591.0,2648.0,10 wins & 32 nominations.,tt3564472,6.2,30666.0,71.0,0.91
33,Daddy's Home 2,PG-13,Comedy,100.0,2017-11-10,2017-02-15,Paramount Pictures,Sean Anders,"Sean Anders, John Morris, Brian Burns (based on characters created by)","Will Ferrell, Mark Wahlberg, Mel Gibson, John Lithgow","Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.","English, Spanish",102934995.0,29651193.0,104029443.0,2018-02-20,3575.0,3575.0,1 win & 3 nominations.,tt5657846,6.0,51451.0,30.0,0.21
34,Murder on the Orient Express,PG-13,"Crime, Drama, Mystery",114.0,2017-11-10,2017-03-01,Twentieth Century Fox,Kenneth Branagh,"Michael Green (screenplay by), Agatha Christie (based upon the novel by)","Paapa Essiedu, Yassine Zeroual, Asan N'Jie, Michael Rouse","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.","English, French, German, Arabic",101555644.0,28681472.0,102800191.0,2018-02-27,3341.0,3354.0,18 nominations.,tt3402236,6.5,185646.0,52.0,0.67
35,Wonder,PG,"Drama, Family",113.0,2017-11-17,2017-03-22,Lionsgate,Stephen Chbosky,"Stephen Chbosky (screenplay by), Steve Conrad (screenplay by), Jack Thorne (screenplay by), R.J. Palacio (based on the novel by)","Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",English,132090170.0,27547866.0,132422809.0,2018-02-13,3096.0,3519.0,Nominated for 1 Oscar. Another 2 wins & 21 nominations.,tt2543472,8.0,117870.0,66.0,0.85
36,All Eyez on Me,R,"Biography, Drama, Music",139.0,2017-06-16,2017-08-03,Lionsgate,Benny Boom,"Jeremy Haft, Eddie Gonzalez, Steven Bagatourian","Demetrius Shipp Jr., Danai Gurira, Kat Graham, Hill Harper","Tells the true and untold story of prolific rapper, actor, poet and activist Tupac Shakur.",English,44892121.0,26435354.0,44922302.0,2017-09-05,2471.0,2471.0,1 nomination.,tt1666185,5.8,19158.0,38.0,0.18
37,Happy Death Day,PG-13,"Horror, Mystery, Thriller",96.0,2017-10-13,2017-12-14,Universal Pictures,Christopher Landon,Scott Lobdell,"Jessica Rothe, Israel Broussard, Ruby Modine, Charles Aitken","A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity.",English,55398005.0,26039025.0,55683845.0,2018-01-16,3149.0,3535.0,1 nomination.,tt5308322,6.5,97109.0,58.0,0.71
38,The Emoji Movie,PG,"Animation, Adventure, Comedy, Family, Fantasy",86.0,2017-07-28,2017-11-30,Sony Pictures Releasing,Tony Leondis,"Tony Leondis (screenplay by), Eric Siegel (screenplay by), Mike White (screenplay by), Tony Leondis (story by), Eric Siegel (story by), John Hoffman (additional screenplay material)","T.J. Miller, James Corden, Anna Faris, Maya Rudolph","Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.","English, Spanish",86053485.0,24531923.0,86089513.0,2017-10-24,4075.0,4075.0,5 wins & 3 nominations.,tt4877122,3.2,50350.0,12.0,0.07
39,Captain Underpants: The First Epic Movie,PG,"Animation, Action, Comedy, Family",89.0,2017-06-02,2017-11-02,Twentieth Century Fox,David Soren,"Nicholas Stoller (screenplay by), Dav Pilkey (based on the epic novels by), David Soren (additional screenplay material by)","Kevin Hart, Ed Helms, Nick Kroll, Thomas Middleditch","Two overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants.",English,73895861.0,23851539.0,73921000.0,2017-09-12,3434.0,3529.0,1 win & 10 nominations.,tt2091256,6.2,22859.0,69.0,0.67
40,The Hitman's Bodyguard,R,"Action, Comedy, Thriller",118.0,2017-08-18,2017-11-02,Lionsgate,Patrick Hughes,Tom O'Connor,"Elodie Yung, Ryan Reynolds, Tsuwayuki Saotome, Roy Hill","The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.","English, Russian, French, Japanese, Italian, Dutch, Spanish",75020039.0,21384504.0,75468583.0,2017-11-21,3377.0,3377.0,N/A,tt1959563,6.9,168291.0,47.0,0.67
41,Boo 2! A Madea Halloween,PG-13,"Comedy, Drama, Horror",101.0,2017-10-20,2017-12-14,Lionsgate,Tyler Perry,"Tyler Perry, Brian Schulman (Screenplay)","Tyler Perry, Cassi Davis, Patrice Lovely, Yousef Erakat","Madea, Bam, and Hattie venture to a haunted campground and the group must run for their lives when monsters, goblins, and the boogeyman are unleashed.",English,46649659.0,21226953.0,47319572.0,2018-01-30,2388.0,2388.0,1 win & 2 nominations.,tt6217804,3.7,3646.0,17.0,0.67
